Year,Research Mentor,Peer Mentor,Alumni Mentor,Study Hall Benefits,Why Meaningful,Engagement,Relevancy,Continue Major,Pursue Grad Degree,Pursue Career,Research Benefits,Research Challenges,Prsonal Benefit,Professional benefit,Valuable,See ASU Supportive,Will Stay ASU,DropOut,SC1,SC2,SC3,Sc4,Age,Gender,Race,Grad Plans,Plans After Graduation
2,5,5,2,4,They were engaging and had good public speakers ,3,2,3,2,5,N/A,He's pretty obstinate ,3,4,2,5,4,2,5,4,4,3,21,1,3,3,Go to grad school
3,5,5,3,2,gaining knowledge is fields that I didn't know much about,3,3,1,1,1,deeper knowledge and asking/giving good feedback,"Learning new skills, and developing a meeting time",4,4,4,4,4,2,2,2,2,3,19,2, ,3,"Work, Go to grad school"
4,5,5,1,3,All of these seminars were intriguing and engaging for me. They also did a really great job of making the information digestible for me as a student who is not as familiar with those topics. ,4,4,5,3,5,It has been helpful to have someone with more experience in the field to help guide us when we are stumped on issues.,"We had a harder time meeting with our research mentor because of scheduling, so there was not much time to talk to them when we did meet.",4,4,4,3,3,1,4,2,3,3,20,1,3,3,"Internship, Work"
4,5,4,2,5,I liked being able to learn about a variety of topics that extended past my own major! ,,,5,5,5,Working with a research mentor has been amazing because it helps me know I am on the right path and already starting research on an interesting topic outside of the classroom. ,"Some challenges were a lack of communication at the beginning of the semester, so I got a late start to helping in the lab with Loly. ",5,5,5,5,5,2,5,4,3,4,20,1,3,0,"Internship, Work"
2,5,5,1,2,The were not extremely specialized to one major.,3,2,5,3,5,Great advice and connections.,Finding a good meeting time for everyone.,4,4,3,5,4,2,5,3,4,3,22,2,3,3,"Internship, Go to grad school"
4,5,5,1,3,"Dr. Coffey's was my favorite because she included information that is helpful to my studies in physics education. Dr. Cahndra's was also interesting because he was also discussing physics. Dr. Ahmed's was also one that stood out to me, but for no particular reason.",,4,5,3,5,Dr. Hester has been incredibly helpful in connecting us to the resources or people we needed to be in contact with to make out research possible. She also presented me with the opportunity to apply for research funding for the first time!,"The greatest issue (now and in the past) has been finding a time to meet that works with everyone's schedule. Also, finding a space to house our research project took much longer than expected.",5,5,5,5,5,2,3,3,3,3,20,1,3,3,Study abroad
5,4,1,1,1,I was able to learn about information both relevant and non relevant to my major. ,4,4,3,3,3,Someone to reach out to when problems were encountered.,None.,5,5,5,5,3,2,3,2,3,3,26,2,3,1,Study abroad
4,5,5,2,3,They were about topics that interested me most among all the talks,5,4,3,3,3,They’ve guided us in many ways throughout the semester. ,Differing projects due to different concentrations. ,4,5,5,4,3,2,4,4,4,4,21,2,2,0,Internship
3,5,5,3,5,"Being able to create connections with people outside of my major. In the pumpkin demo, we were able to interact with our presenter a learn some cool stuff at the same time.",3,4,5,5,5,I have been able to ask hard hitting questions about the things I am passionate about and have received great feedback.,I would like to make some personal connections with my teammate beyond the working environment.,4,4,4,5,5,2,5,3,3,3,22,2,1,1,"Work, Go to grad school"
5,5,1,2,3,The community we've built with each other offers vital support.  I've also enjoyed the chance to research projects I personally find interesting.,3,3,5,5,5,It's been great having guidance from someone more knowledgeable. ,Finding a time to meet that works with everyone's schedule. Our research mentor was very busy this semester so we pretty much relied on our team lead. ,5,5,5,5,5,2,4,4,3,4,31,1,3,1,Go to grad school
2,5,5,5,2,They were interesting to things I actually enjoy  ,5,5,5,5,5,She has given me so much advice from research and other areas of life,She is a bit busy and does not have a lot of time but she tries her best to give us her time.,5,5,5,5,5,2,2,4,4,4,22,2,4,1,Go to med school
5,5,2,2,1,Dr.T,4,4,4,3,5,Connections,Having to communicate effectively ,4,4,4,4,4,2,3,3,3,3,21,1,3,3,Go into research
2,5,1,1,3,Jan 21: This gave me a perspective on careers and how I envisioned mine going.   Feb 18: I appreciate the information about the free pantry.   Mar 18: I enjoyed her perspective on math. ,4,4,5,5,5,Having someone who can help parse out the vision of the project into workable steps. ,"Timing, it is hard to find a meeting time what works for everyone. ",5,5,5,5,5,1,4,4,3,3,29,2,3,3,Go into research
3,2,4,2,5,"I especially liked these seminars because with the leadership seminars, I felt like I actually got to meet new people in the program and interact with them in a group setting. I liked Dr. Sarah's seminar because she covered math related topics and I am a math major.",5,5,5,5,5,I got to apply what I learned in the classroom to actual research and have guidance as I do so.,We all have very busy schedules so actually finding an adequate amount of time to meet was sometimes challenging.,5,5,5,5,5,2,4,4,4,4,21,2,3,1,"Go to grad school, Go into research"
4,5,5,1,4,They were fun and interesting.,4,4,5,5,5,It's very helpful to have someone with that knowledge help with research.,Finding times to meet.,5,5,5,5,5,2,4,3,3,4,19,1,3,1,"Study abroad, Internship"
3,2,5,1,3,I found these STEM seminars meaningful because they contained exciting topics. The presenters were very engaging. ,5,4,4,4,4,I enjoyed having someone I could reach out to when I had certain problems. ,We had major problems with our IRB application process. ,5,5,5,5,5,2,5,4,4,4,21,2,3,0,Work 
5,5,5,3,2,"The virus seminar was interesting, but the seminars with Dr. Street were really thought provoking. I feel they made me a better student.",5,5,5,5,5,I have had lots of hands-on experience critical to making myself a better scientist and competitive for graduate school,Balancing research and classes,5,5,5,5,5,2,3,2,4,4,20,2,3,1,Work
4,2,1,1,1,I usually find all of Dr. Streets talks meaningful. I enjoyed Dr Sarah’s talk due to it being about my major.,5,4,3,4,3,They have made it much easier to figure out a plan and help us under What we were doing.,There really weren’t any problems with the people it was mostly a problem with getting approved.,4,4,4,5,4,2,4,3,3,4,19,2,3,4,"Study abroad, Work"
